epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.0151,1.15855,2.2817,1.16926,0.00522,1,0.83642,0.39749,1.02634,3.30632,1.01356,0.000653061,0.000653061,0.000653061
2,119.052,1.18051,1.53975,1.19193,0.94964,0.8025,0.88294,0.63667,1.01108,2.72378,1.14078,0.0012544,0.0012544,0.0012544
3,176.996,1.16948,1.36137,1.17623,0.93784,1,0.94968,0.68367,1.01942,1.64058,1.1428,0.00178974,0.00178974,0.00178974
4,235.942,1.15513,1.26282,1.15718,0.93464,0.9128,0.94803,0.73251,0.97774,1.67556,1.1221,0.001703,0.001703,0.001703
5,294.42,1.08797,1.22657,1.14901,0.95733,0.9548,0.94904,0.65243,1.10343,1.69122,1.18931,0.001604,0.001604,0.001604
6,351.007,1.09213,1.07196,1.13934,0.9573,1,0.97337,0.68712,0.92554,1.25073,1.06435,0.001505,0.001505,0.001505
7,406.745,1.04148,1.07256,1.10071,0.91641,1,0.97703,0.73429,0.95426,1.22267,1.08693,0.001406,0.001406,0.001406
8,465.047,1.08497,1.00585,1.16349,0.95162,1,0.96065,0.74736,0.85864,1.02665,1.0192,0.001307,0.001307,0.001307
9,520.101,1.03832,0.9317,1.13019,0.93478,1,0.95378,0.81697,0.67265,1.05183,0.97306,0.001208,0.001208,0.001208
10,576.046,1.02014,0.94616,1.10106,0.95569,1,0.9788,0.7942,0.70497,0.8944,0.98486,0.001109,0.001109,0.001109
11,633.199,0.94475,0.97223,1.08114,0.93819,1,0.97249,0.81754,0.72331,0.88971,0.99292,0.00101,0.00101,0.00101
12,690.957,0.91848,0.91209,1.06796,0.93583,1,0.9663,0.75546,0.91465,0.91634,1.07213,0.000911,0.000911,0.000911
13,745.841,0.90658,0.84307,1.07219,0.95624,1,0.96847,0.79418,0.73743,0.81409,1.00749,0.000812,0.000812,0.000812
14,800.626,0.89443,0.81152,1.0749,0.95762,1,0.97169,0.80124,0.72505,0.8029,1.01285,0.000713,0.000713,0.000713
15,858.12,0.88507,0.81644,1.06382,0.95744,1,0.96243,0.81736,0.71759,0.75645,1.01545,0.000614,0.000614,0.000614
16,913.255,0.85484,0.77658,1.05852,0.95698,1,0.97426,0.82598,0.68066,0.7267,1.01047,0.000515,0.000515,0.000515
17,969.134,0.85475,0.75599,1.07638,0.95761,1,0.97485,0.83089,0.71149,0.71792,1.01854,0.000416,0.000416,0.000416
18,1025.57,0.81982,0.73908,1.02709,0.95795,1,0.97312,0.82959,0.7381,0.70951,1.01816,0.000317,0.000317,0.000317
19,1081.96,0.78816,0.6939,1.00111,0.95783,1,0.9748,0.83007,0.69303,0.67642,1.01195,0.000218,0.000218,0.000218
20,1136.95,0.75632,0.6984,1.01604,0.9579,1,0.97484,0.82643,0.67361,0.66423,1.00864,0.000119,0.000119,0.000119
